StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Intro,Age,Gender,Logo_grp1_cr_1,Logo_grp1_imp_1,Logo_grp2_cr_1,Logo_grp2_imp_1,Logo_grp3_cr_1,Logo_grp3_imp_1,Password_grp2_cr_1,Password_grp2_imp_1,Password_grp3_cr_1,Password_grp3_imp_1,Password_grp1_cr_1,Password_grp1_imp_1,Space_grp3_cr_1,Space_grp3_imp_1,Space_grp1_cr_1,Space_grp1_imp_1,Space_grp2_cr_1,Space_grp2_imp_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Welcome,  
We invite you to take part in this survey to contribute to scientific development.
Participation is voluntary and requires that you give your informed consent.
Your individual privacy will be maintained in all published and written data resulting from the study.",Enter your age please,Gender,"New logo + Old logo, with Red color

How creative is this Logo for UM6P - Grade from 0 to 10",How better is representing UM6P - Grade from 0 to 10,"Morocco + Africa + Pergola+ Word

How creative is this Logo for UM6P - Grade from 0 to 10",How better is representing UM6P - Grade from 0 to 10,"Africa + Arabic Languge + Moroccan flag colors

How creative is this Logo for UM6P - Grade from 0 to 10",How better is representing UM6P - Grade from 0 to 10,How does the memorability of this password compare to the automatically generated one? - Grade from 0 to 10,"In terms of improving security, how does this password compare to the automatically generated one? - Grade from 0 to 10",How does the memorability of this password compare to the automatically generated one? - Grade from 0 to 10,"In terms of improving security, how does this password compare to the automatically generated one? - Grade from 0 to 10",How does the memorability of this password compare to the automatically generated one? - Grade from 0 to 10,"In terms of improving security, how does this password compare to the automatically generated one? - Grade from 0 to 10","""Make the Agora a lively place by adding fun group games that push people to play together and socialize . Add a music comes with instruments and a Karaoke machine.""



How would you rate the creativity of the suggested improvements to the space? - Grade from 0 to 10",In what ways do you think the suggested improvements enhance the overall functionality of the space? - Grade from 0 to 10,"""A weekly event open to everyone, offering free snacks, games, music, picnics, and Moroccan appetizers.""



How would you rate the creativity of the suggested improvements to the space? - Grade from 0 to 10",In what ways do you think the suggested improvements enhance the overall functionality of the space? - Grade from 0 to 10,"""Create a bookshelves around the Agora with different topics such as economies, geopolitical... And create a weekly event that is termed 'Bring your snacks', discuss ranging topic amoung themselves through heterogenous mixing to different level of study and nationalities. And it should compulsary for all student to paricipate.""



How would you rate the creativity of the suggested improvements to the space? - Grade from 0 to 10",In what ways do you think the suggested improvements enhance the overall functionality of the space? - Grade from 0 to 10
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}"
2024-01-10 09:33:52,2024-01-10 09:35:47,Survey Preview,,100,114,True,2024-01-10 09:35:48,R_7tN8p0LB1Tthrkl,,,,,34.0663,-6.817,preview,EN,I give my informed consent to participate in this study,,,1,,,,,,,,,,-5,-5,,,0,0,,
2024-01-10 11:13:12,2024-01-10 11:14:05,Survey Preview,,100,53,True,2024-01-10 11:14:06,R_88FBeImRuF5beRs,,,,,34.0663,-6.817,preview,EN,I give my informed consent to participate in this study,,,0,,,,,,,,,,4,3,,,4,4,,
2024-01-22 18:04:16,2024-01-22 18:04:32,Survey Preview,,100,16,True,2024-01-22 18:04:34,R_7hg8JuPO5TkBNpT,,,,,34.0663,-6.817,preview,EN,,,,,,,,,,,,,,,,,,,,,
2024-01-22 20:33:34,2024-01-22 20:52:54,Survey Preview,,100,1159,True,2024-01-22 20:52:56,R_2s0YYBZqGnKHQQj,,,,,34.0663,-6.817,preview,EN,I give my informed consent to participate in this study,,,,,,,,,,,,,,,,,,,,
2024-01-22 22:30:44,2024-01-22 22:36:31,Survey Preview,,100,347,True,2024-01-22 22:36:34,R_4SqsxCnFb2LPqF5,,,,,34.0663,-6.817,preview,EN,I give my informed consent to participate in this study,,,,,,,4.1,,,,,,,,,,,,,
2024-01-23 15:13:56,2024-01-23 15:14:38,Survey Preview,,100,42,True,2024-01-23 15:14:39,R_2dB06tPjES91LGo,,,,,34.0663,-6.817,preview,EN,,,,,,,,,,,,,,,,,,,,,
2024-01-23 18:32:47,2024-01-23 18:34:58,IP Address,197.230.97.174,100,131,True,2024-01-23 18:34:58,R_4PgjhEyLQp4BkYN,,,,,34.0663,-6.817,anonymous,EN,I give my informed consent to participate in this study,21,Female,5,5,5,5,5,5,5.5,4.4,5,4.9,5,4.8,5,5,5,5,5,5
2024-01-23 18:39:47,2024-01-23 18:43:20,IP Address,197.230.97.174,100,212,True,2024-01-23 18:43:21,R_3dMuc6JReekPMLk,,,,,34.0663,-6.817,anonymous,EN,I give my informed consent to participate in this study,27,Male,2.6,1.2,6.4,4.5,6.7,4.2,2.5,2.8,4.7,4.6,8,5.4,8.5,8.5,9.1,8.9,7,6.8
